Date Range,Time Period,Direction,"Travel Time
(MIN)","Travel Time
Low End
(MIN)","Travel Time
High End 
(MIN)","Wait Time Reliability 
(% of observed headways at or below 4 minutes)
",Date Range Excluded for Summary,Baseline Date Range
"Sep 24,2017 to Oct 14, 2017",AM (7-10AM),WESTBOUND,15.2, 11.3 ,19.0,77.5%,2017-10-15 to 2017-10-28,TRUE
"Sep 24,2017 to Oct 14, 2017",AM (7-10AM),EASTBOUND,15.3, 11.7 ,18.7,83.9%,,TRUE
"Sep 24,2017 to Oct 14, 2017",MID (10AM- 4PM),WESTBOUND,16.1,12.3,19.7,,,TRUE
"Sep 24,2017 to Oct 14, 2017",MID (10AM- 4PM),EASTBOUND,16.8,13.0,20.3,,,TRUE
"Sep 24,2017 to Oct 14, 2017",PM (4 - 7PM),WESTBOUND,19.0,14.0,24.0,74.9%,,TRUE
"Sep 24,2017 to Oct 14, 2017",PM (4 - 7PM),EASTBOUND,18.9,13.0,25.0,76.7%,,TRUE
"Sep 24,2017 to Oct 14, 2017",EE (4PM - 10PM),WESTBOUND,16.4,12.0,20.7,,,TRUE
"Sep 24,2017 to Oct 14, 2017",EE (4PM - 10PM),EASTBOUND,15.8,12.0,19.3,,,TRUE
"Sep 24,2017 to Oct 14, 2017",LE (10M - 3AM),WESTBOUND,14.6,7.7,21.7,,,TRUE
"Sep 24,2017 to Oct 14, 2017",LE (10M - 3AM),EASTBOUND,15.1,8.7,21.7,,,TRUE
"Dec 03, 2017 to Dec 30, 2017",AM (7-10AM),WESTBOUND,14.8,11.7,17.7,,,FALSE
"Dec 03, 2017 to Dec 30, 2017",AM (7-10AM),EASTBOUND,15.1,12.3,18.0,,,FALSE
"Dec 03, 2017 to Dec 30, 2017",PM (4 - 7PM),WESTBOUND,16.5,13.0,19.7,,,FALSE
"Dec 03, 2017 to Dec 30, 2017",PM (4 - 7PM),EASTBOUND,17.2,13.0,21.3,,,FALSE
"Dec 31, 2017 to Feb 03, 2018",AM (7-10AM),WESTBOUND,14.5,11.3,17.7,85.4%,,FALSE
"Dec 31, 2017 to Feb 03, 2018",AM (7-10AM),EASTBOUND,15.5,12.7,18.7,86.3%,,FALSE
"Dec 31, 2017 to Feb 03, 2018",MID (10AM- 4PM),WESTBOUND,13.8,11.0,16.3,,,FALSE
"Dec 31, 2017 to Feb 03, 2018",MID (10AM- 4PM),EASTBOUND,14.5,12.0,17.0,,,FALSE
"Dec 31, 2017 to Feb 03, 2018",PM (4 - 7PM),WESTBOUND,16.6,13.0,20.0,79.6%,,FALSE
"Dec 31, 2017 to Feb 03, 2018",PM (4 - 7PM),EASTBOUND,16.5,13.3,20.0,81.0%,,FALSE
"Dec 31, 2017 to Feb 03, 2018",EE (4PM - 10PM),WESTBOUND,13.7,13.0,20.0,,,FALSE
"Dec 31, 2017 to Feb 03, 2018",EE (4PM - 10PM),EASTBOUND,13.6,11.3,16.0,,,FALSE
"Dec 31, 2017 to Feb 03, 2018",LE (10M - 3AM),WESTBOUND,11.9,8.3,15.7,,,FALSE
"Dec 31, 2017 to Feb 03, 2018",LE (10M - 3AM),EASTBOUND,12.6,9.0,16.0,,,FALSE
"Feb 04, 2018 to Mar 03, 2018",AM (7-10AM),WESTBOUND,15.2,12.0,18.3,84.5%,,FALSE
"Feb 04, 2018 to Mar 03, 2018",AM (7-10AM),EASTBOUND,15.9,12.3,19.3,82.3%,,FALSE
"Feb 04, 2018 to Mar 03, 2018",MID (10AM- 4PM),WESTBOUND,14.5,11.3,17.3,,,FALSE
"Feb 04, 2018 to Mar 03, 2018",MID (10AM- 4PM),EASTBOUND,15.2,12.3,18.3,,,FALSE
"Feb 04, 2018 to Mar 03, 2018",PM (4 - 7PM),WESTBOUND,16.6,13.0,20.3,80.5%,,FALSE
"Feb 04, 2018 to Mar 03, 2018",PM (4 - 7PM),EASTBOUND,16.6,13.3,20.0,82.5%,,FALSE
"Feb 04, 2018 to Mar 03, 2018",EE (4PM - 10PM),WESTBOUND,14.2,13.0,20.3,,,FALSE
"Feb 04, 2018 to Mar 03, 2018",EE (4PM - 10PM),EASTBOUND,13.9,11.3,16.3,,,FALSE
