month,street,direction,from_intersection,to_intersection,day_type,time_period,baseline_travel_time,average_travel_time
Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekday,AM Peak (07:00-10:00),7.9,7.1
Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekday,Evening (19:00-23:00),8.1,7.3
Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekday,Midday (10:00-16:00),9.4,8.5
Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekday,PM Peak (16:00-19:00),14.7,14.0
Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekend,Afternoon (12:00-17:00),7.1,6.8
Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekend,Evening (17:00-23:00),7.7,6.3
Nov '17,Adelaide,Eastbound,Spadina,Jarvis,Weekend,Morning (08:00-12:00),4.8,5.0
Nov '17,Bathurst,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),5.1,5.4
Nov '17,Bathurst,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),5.2,4.9
Nov '17,Bathurst,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),4.9,5.2
Nov '17,Bathurst,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),7.0,6.2
Nov '17,Bathurst,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),4.7,5.1
Nov '17,Bathurst,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),5.0,4.9
Nov '17,Bathurst,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),4.1,3.9
Nov '17,Bathurst,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),5.3,6.0
Nov '17,Bathurst,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),5.4,5.5
Nov '17,Bathurst,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.6,5.8
Nov '17,Bathurst,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),6.1,6.1
Nov '17,Bathurst,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),5.5,5.8
Nov '17,Bathurst,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),5.3,5.5
Nov '17,Bathurst,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),4.2,4.2
Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),10.6,10.8
Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.7,11.2
Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),13.2,13.0
Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),13.7,14.5
Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),13.3,16.2
Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),12.9,15.1
Nov '17,Dundas,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),8.8,8.9
Nov '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,AM Peak (07:00-10:00),9.4,9.8
Nov '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,Evening (19:00-23:00),12.3,11.4
Nov '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,Midday (10:00-16:00),13.8,13.4
Nov '17,Dundas,Westbound,Jarvis,Bathurst,Weekday,PM Peak (16:00-19:00),15.1,14.9
Nov '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Afternoon (12:00-17:00),13.9,15.7
Nov '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Evening (17:00-23:00),14.1,14.3
Nov '17,Dundas,Westbound,Jarvis,Bathurst,Weekend,Morning (08:00-12:00),9.4,9.6
Nov '17,Front,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),11.9,13.5
Nov '17,Front,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.5,11.7
Nov '17,Front,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),11.8,11.8
Nov '17,Front,Eastbound,Bathurst,Jarvis,Weekday,PM Peak (16:00-19:00),17.3,18.5
Nov '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Afternoon (12:00-17:00),11.1,14.9
Nov '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Evening (17:00-23:00),12.4,14.5
Nov '17,Front,Eastbound,Bathurst,Jarvis,Weekend,Morning (08:00-12:00),8.5,9.8
Nov '17,Front,Westbound,Yonge,Bathurst,Weekday,AM Peak (07:00-10:00),9.0,8.5
Nov '17,Front,Westbound,Yonge,Bathurst,Weekday,Evening (19:00-23:00),10.1,10.8
Nov '17,Front,Westbound,Yonge,Bathurst,Weekday,Midday (10:00-16:00),9.7,10.9
Nov '17,Front,Westbound,Yonge,Bathurst,Weekday,PM Peak (16:00-19:00),14.3,16.9
Nov '17,Front,Westbound,Yonge,Bathurst,Weekend,Afternoon (12:00-17:00),8.9,10.6
Nov '17,Front,Westbound,Yonge,Bathurst,Weekend,Evening (17:00-23:00),10.4,10.7
Nov '17,Front,Westbound,Yonge,Bathurst,Weekend,Morning (08:00-12:00),8.5,7.7
Nov '17,Jarvis,Southbound,Dundas,Front,Weekday,AM Peak (07:00-10:00),4.1,4.1
Nov '17,Jarvis,Southbound,Dundas,Front,Weekday,Evening (19:00-23:00),3.9,3.7
Nov '17,Jarvis,Southbound,Dundas,Front,Weekday,Midday (10:00-16:00),6.0,6.1
Nov '17,Jarvis,Southbound,Dundas,Front,Weekday,PM Peak (16:00-19:00),8.5,10.2
Nov '17,Jarvis,Southbound,Dundas,Front,Weekend,Afternoon (12:00-17:00),4.6,5.9
Nov '17,Jarvis,Southbound,Dundas,Front,Weekend,Evening (17:00-23:00),3.7,4.3
Nov '17,Jarvis,Southbound,Dundas,Front,Weekend,Morning (08:00-12:00),3.8,3.6
Nov '17,Jarvis,Northbound,Front,Dundas,Weekday,AM Peak (07:00-10:00),4.7,4.5
Nov '17,Jarvis,Northbound,Front,Dundas,Weekday,Evening (19:00-23:00),4.5,4.3
Nov '17,Jarvis,Northbound,Front,Dundas,Weekday,Midday (10:00-16:00),5.3,5.2
Nov '17,Jarvis,Northbound,Front,Dundas,Weekday,PM Peak (16:00-19:00),4.8,5.0
Nov '17,Jarvis,Northbound,Front,Dundas,Weekend,Afternoon (12:00-17:00),4.5,5.2
Nov '17,Jarvis,Northbound,Front,Dundas,Weekend,Evening (17:00-23:00),4.3,5.0
Nov '17,Jarvis,Northbound,Front,Dundas,Weekend,Morning (08:00-12:00),3.8,3.7
Nov '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,AM Peak (07:00-10:00),11.3,11.8
Nov '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,Evening (19:00-23:00),11.6,12.2
Nov '17,Queen,Eastbound,Bathurst,Jarvis,Weekday,Midday (10:00-16:00),14.0,15.4
