aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,14 Hour,171
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,Afternoon (12:00-17:00),67
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,AM Peak Period (07:00-10:00),19
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,Evening (17:00-22:00),81
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,Midday (10:00-16:00),67
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,Morning (08:00-12:00),36
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,EB,PM Peak Period (16:00-19:00),65
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,14 Hour,188
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,Afternoon (12:00-17:00),69
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,AM Peak Period (07:00-10:00),45
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,Evening (17:00-22:00),54
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,Midday (10:00-16:00),84
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,Morning (08:00-12:00),59
Apr 2018,13466110,Queen St E / Jarvis St,6,Cyclists,WB,PM Peak Period (16:00-19:00),36
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,14 Hour,2211
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,Afternoon (12:00-17:00),950
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,AM Peak Period (07:00-10:00),346
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,Evening (17:00-22:00),803
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,Midday (10:00-16:00),1016
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,Morning (08:00-12:00),560
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,EB,PM Peak Period (16:00-19:00),698
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,14 Hour,2235
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,Afternoon (12:00-17:00),894
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,AM Peak Period (07:00-10:00),498
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,Evening (17:00-22:00),682
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,Midday (10:00-16:00),986
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,Morning (08:00-12:00),669
Apr 2018,13466110,Queen St E / Jarvis St,6,Pedestrians,WB,PM Peak Period (16:00-19:00),598
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,14 Hour,5022
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,Afternoon (12:00-17:00),2035
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,AM Peak Period (07:00-10:00),797
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,Evening (17:00-22:00),1967
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,Midday (10:00-16:00),2186
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,Morning (08:00-12:00),1203
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,EB,PM Peak Period (16:00-19:00),1553
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,14 Hour,5056
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,Afternoon (12:00-17:00),1388
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,AM Peak Period (07:00-10:00),1790
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,Evening (17:00-22:00),1393
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,Midday (10:00-16:00),1773
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,Morning (08:00-12:00),2048
Apr 2018,13466110,Queen St E / Jarvis St,6,Vehicles,WB,PM Peak Period (16:00-19:00),994
Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,14 Hour,592
Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,Afternoon (12:00-17:00),113
Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,AM Peak Period (07:00-10:00),302
Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,Evening (17:00-22:00),130
Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,Midday (10:00-16:00),143
Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,Morning (08:00-12:00),316
Apr 2018,13466268,Richmond St E / Jarvis St,5,Cyclists,WB,PM Peak Period (16:00-19:00),109
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,14 Hour,1485
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Afternoon (12:00-17:00),588
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,AM Peak Period (07:00-10:00),250
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Evening (17:00-22:00),589
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Midday (10:00-16:00),644
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Morning (08:00-12:00),380
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,PM Peak Period (16:00-19:00),497
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,14 Hour,1669
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,Afternoon (12:00-17:00),610
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,AM Peak Period (07:00-10:00),468
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,Evening (17:00-22:00),472
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,Midday (10:00-16:00),704
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,Morning (08:00-12:00),569
Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,PM Peak Period (16:00-19:00),388
Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,14 Hour,14746
Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,Afternoon (12:00-17:00),4984
Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,AM Peak Period (07:00-10:00),3713
Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,Evening (17:00-22:00),4373
Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,Midday (10:00-16:00),5924
Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,Morning (08:00-12:00),4469
Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,PM Peak Period (16:00-19:00),3335
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,14 Hour,173
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,Afternoon (12:00-17:00),62
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,AM Peak Period (07:00-10:00),35
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,Evening (17:00-22:00),62
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,Midday (10:00-16:00),74
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,Morning (08:00-12:00),51
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,PM Peak Period (16:00-19:00),44
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,14 Hour,154
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,Afternoon (12:00-17:00),66
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,AM Peak Period (07:00-10:00),24
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,Evening (17:00-22:00),56
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,Midday (10:00-16:00),76
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,Morning (08:00-12:00),38
Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,PM Peak Period (16:00-19:00),39
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,14 Hour,8263
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,Afternoon (12:00-17:00),3612
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,AM Peak Period (07:00-10:00),1434
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,Evening (17:00-22:00),2752
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,Midday (10:00-16:00),3790
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,Morning (08:00-12:00),2189
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,PM Peak Period (16:00-19:00),2447
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,14 Hour,7061
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,Afternoon (12:00-17:00),3273
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,AM Peak Period (07:00-10:00),883
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,Evening (17:00-22:00),2696
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,Midday (10:00-16:00),3178
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,Morning (08:00-12:00),1504
Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,PM Peak Period (16:00-19:00),2435
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,14 Hour,6278
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,Afternoon (12:00-17:00),2403
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,AM Peak Period (07:00-10:00),1218
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,Evening (17:00-22:00),2393
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,Midday (10:00-16:00),2719
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,Morning (08:00-12:00),1781
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,EB,PM Peak Period (16:00-19:00),1745
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,14 Hour,4619
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,Afternoon (12:00-17:00),1590
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,AM Peak Period (07:00-10:00),1249
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,Evening (17:00-22:00),1525
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,Midday (10:00-16:00),1857
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,Morning (08:00-12:00),1581
Apr 2018,13466418,Bay St / Queen St W,64,Vehicles,WB,PM Peak Period (16:00-19:00),1072
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,14 Hour,620
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,Afternoon (12:00-17:00),178
Apr 2018,13466455,Adelaide St E / Jarvis St / St. James Park Trl,4,Cyclists,EB,AM Peak Period (07:00-10:00),101
