Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
2014-01-01,2014,1,1,-9.38,-14.919999999999998,-12.180000000000001,0.0,0.0,0.0,7.4
2014-01-02,2014,1,2,-15.3,-19.740000000000002,-17.54,0.0,0.44000000000000006,0.76,7.2
2014-01-03,2014,1,3,-7.619999999999999,-23.64,-15.64,0.0,0.0,0.04,7.6
2014-01-04,2014,1,4,-0.12000000000000002,-9.620000000000001,-4.9,0.0,0.8800000000000001,0.96,7.6
2014-01-05,2014,1,5,0.76,-2.64,-0.9800000000000001,1.3599999999999999,6.88,12.919999999999998,8.8
2014-01-06,2014,1,6,0.16000000000000014,-14.960000000000003,-7.42,1.0,1.0,4.68,14.0
2014-01-07,2014,1,7,-15.64,-23.220000000000002,-19.46,0.0,0.0,0.08,13.6
2014-01-08,2014,1,8,-8.26,-17.06,-12.7,0.0,0.04,0.04,13.8
2014-01-09,2014,1,9,-4.32,-14.24,-9.319999999999999,0.0,0.64,0.52,12.6
2014-01-10,2014,1,10,2.7,-7.62,-2.46,1.8399999999999999,0.9199999999999999,3.6399999999999997,13.8
2014-01-11,2014,1,11,6.459999999999999,1.72,4.1,4.6,0.0,8.54,10.8
2014-01-12,2014,1,12,2.8600000000000003,0.54,1.72,0.0,0.0,0.0,7.6
2014-01-13,2014,1,13,6.540000000000001,-0.76,2.9,0.2,0.0,0.2,7.0
2014-01-14,2014,1,14,4.4799999999999995,0.4600000000000001,2.5,0.0,0.0,0.0,4.4
2014-01-15,2014,1,15,1.26,-4.26,-1.52,0.0,0.08,0.08,4.0
2014-01-16,2014,1,16,-0.7,-5.08,-2.9200000000000004,0.0,2.16,1.56,3.8
2014-01-17,2014,1,17,1.8199999999999998,-2.7199999999999998,-0.45999999999999996,0.0,1.8,1.6199999999999999,6.8
2014-01-18,2014,1,18,-1.9600000000000002,-7.340000000000001,-4.680000000000001,0.0,0.6,0.54,7.0
2014-01-19,2014,1,19,,,,0.0,0.6,0.82,6.8
2014-01-20,2014,1,20,-3.6799999999999997,-16.06,-9.9,0.0,0.6,0.5599999999999999,7.6
2014-01-21,2014,1,21,-15.62,-20.94,-18.3,0.0,0.0,0.1,7.6
2014-01-22,2014,1,22,-12.959999999999999,-22.74,-17.880000000000003,0.0,0.04,0.04,7.6
2014-01-23,2014,1,23,-13.48,-18.8,-16.16,0.0,0.16,0.12000000000000002,7.6
2014-01-24,2014,1,24,-7.56,-19.3,-13.459999999999999,0.0,1.08,0.8400000000000001,7.8
2014-01-25,2014,1,25,-3.1799999999999997,-14.98,-9.1,0.0,1.8,1.72,9.4
2014-01-26,2014,1,26,-4.459999999999999,-17.48,-10.98,0.0,2.4799999999999995,1.6600000000000001,9.8
2014-01-27,2014,1,27,-5.4399999999999995,-15.6,-10.540000000000001,0.0,0.9199999999999999,1.28,13.0
2014-01-28,2014,1,28,-12.059999999999999,-19.14,-15.62,0.0,0.0,0.04,12.8
2014-01-29,2014,1,29,-9.459999999999999,-17.52,-13.52,0.0,0.0,0.0,12.2
2014-01-30,2014,1,30,-1.1800000000000002,-12.860000000000003,-7.0200000000000005,0.04,0.16,0.16,11.0
2014-01-31,2014,1,31,0.6200000000000001,-4.7,-2.0599999999999996,0.0,0.27999999999999997,0.16,10.8
2014-02-01,2014,2,1,0.7,-4.6,-1.9600000000000002,0.0,8.1,13.86,10.2
2014-02-02,2014,2,2,0.0,-6.76,-3.4,0.0,0.0,0.32,16.6
2014-02-03,2014,2,3,-3.44,-12.6,-8.059999999999999,0.0,0.0,0.04,16.4
2014-02-04,2014,2,4,-3.9799999999999995,-14.459999999999999,-9.24,0.0,1.8,1.3,15.6
2014-02-05,2014,2,5,-6.0,-12.559999999999999,-9.3,0.0,11.22,10.219999999999999,18.2
2014-02-06,2014,2,6,-7.3,-17.28,-12.3,0.0,0.04,0.13999999999999999,28.2
2014-02-07,2014,2,7,-9.440000000000001,-14.66,-12.059999999999999,0.0,0.0,0.0,25.0
2014-02-08,2014,2,8,-8.98,-15.939999999999998,-12.48,0.0,0.08,0.08,24.0
2014-02-09,2014,2,9,-7.76,-15.639999999999997,-11.720000000000002,0.0,1.56,1.6800000000000002,23.2
2014-02-10,2014,2,10,-6.5,-14.98,-10.780000000000001,0.0,0.0,0.06,24.2
2014-02-11,2014,2,11,-9.24,-16.139999999999997,-12.719999999999999,0.0,0.0,0.0,23.2
2014-02-12,2014,2,12,-6.04,-19.54,-12.819999999999999,0.0,0.0,0.0,22.2
2014-02-13,2014,2,13,-2.2,-14.24,-8.22,0.0,0.04,0.04,22.2
2014-02-14,2014,2,14,-0.1,-6.38,-3.2600000000000002,0.0,0.04,0.04,21.4
2014-02-15,2014,2,15,-3.5,-12.22,-7.880000000000001,0.0,0.0,0.0,20.2
2014-02-16,2014,2,16,-7.68,-14.5,-11.120000000000001,0.0,0.36,0.24000000000000005,20.0
2014-02-17,2014,2,17,-2.7600000000000002,-17.54,-10.18,0.0,2.2399999999999998,2.12,20.2
2014-02-18,2014,2,18,-0.24,-5.42,-2.8600000000000003,0.0,2.6,3.34,25.0
2014-02-19,2014,2,19,6.08,-5.02,0.5200000000000001,0.12000000000000002,0.0,0.42000000000000004,24.2
2014-02-20,2014,2,20,2.56,-5.1,-1.3,6.4,2.2,14.080000000000002,21.6
2014-02-21,2014,2,21,4.62,0.039999999999999994,2.3400000000000003,2.04,0.0,5.540000000000001,18.8
2014-02-22,2014,2,22,2.96,-1.2,0.9,0.0,0.0,0.0,16.8
2014-02-23,2014,2,23,0.0,-5.48,-2.78,0.0,0.08,0.04,15.8
2014-02-24,2014,2,24,-5.279999999999999,-9.620000000000001,-7.480000000000001,0.0,0.04,0.04,15.2
2014-02-25,2014,2,25,-6.04,-11.559999999999999,-8.82,0.0,0.08,0.08,15.2
2014-02-26,2014,2,26,-9.16,-15.26,-12.22,0.0,0.0,0.0,14.8
2014-02-27,2014,2,27,-8.879999999999999,-16.1,-12.52,0.0,0.08,0.13999999999999999,14.8
2014-02-28,2014,2,28,-7.26,-19.08,-13.180000000000001,0.0,0.0,0.0,14.8
2014-03-01,2014,3,1,-1.9,-11.379999999999999,-6.68,0.0,2.84,2.84,14.6
2014-03-02,2014,3,2,-9.32,-16.080000000000002,-12.719999999999999,0.0,0.76,0.9400000000000001,18.8
2014-03-03,2014,3,3,-11.42,-19.28,-15.38,0.0,0.0,0.04,18.4
2014-03-04,2014,3,4,-8.620000000000001,-18.46,-13.559999999999999,0.0,1.52,0.96,18.4
2014-03-05,2014,3,5,-5.14,-13.960000000000003,-9.559999999999999,0.0,0.0,0.04,19.2
2014-03-06,2014,3,6,-3.6399999999999997,-12.36,-8.02,0.0,2.34,0.62,21.0
2014-03-07,2014,3,7,2.98,-11.559999999999999,-4.32,0.0,0.0,0.06,20.4
2014-03-08,2014,3,8,1.94,-6.06,-2.0800000000000005,0.0,0.0,0.0,17.4
2014-03-09,2014,3,9,0.78,-10.239999999999998,-4.76,0.0,0.0,0.0,16.2
2014-03-10,2014,3,10,6.319999999999999,-0.6799999999999999,2.8400000000000003,0.0,0.0,0.0,14.8
2014-03-11,2014,3,11,10.28,2.2800000000000002,6.32,0.0,0.16,0.12,11.4
2014-03-12,2014,3,12,3.08,-13.34,-5.159999999999999,0.0,8.919999999999998,11.68,7.8
2014-03-13,2014,3,13,-5.459999999999999,-17.18,-11.36,0.0,0.0,0.0,18.2
2014-03-14,2014,3,14,9.8,-7.08,1.3800000000000001,0.0,0.0,0.0,16.4
2014-03-15,2014,3,15,4.999999999999999,-6.74,-0.8800000000000001,0.0,0.0,0.0,10.0
2014-03-16,2014,3,16,-7.720000000000001,-13.819999999999999,-10.8,0.0,0.0,0.0,8.6
2014-03-17,2014,3,17,-3.9799999999999995,-15.280000000000001,-9.66,0.0,0.0,0.0,8.6
2014-03-18,2014,3,18,1.9600000000000002,-6.94,-2.5,0.0,0.0,0.0,7.2
2014-03-19,2014,3,19,5.720000000000001,-0.4,2.68,2.2,0.0,4.6000000000000005,6.0
2014-03-20,2014,3,20,3.44,-1.38,1.06,0.2,0.0,0.2,4.2
2014-03-21,2014,3,21,3.28,-3.3,-1.1102230246251566e-17,0.0,0.4,0.24,3.2
2014-03-22,2014,3,22,3.02,-5.4399999999999995,-1.2200000000000002,0.0,0.64,0.8400000000000001,3.8
2014-03-23,2014,3,23,-5.0600000000000005,-10.120000000000001,-7.619999999999999,0.0,0.0,0.0,2.8
2014-03-24,2014,3,24,-3.16,-10.92,-7.06,0.0,0.0,0.0,2.6
2014-03-25,2014,3,25,0.64,-9.620000000000001,-4.5,0.0,0.04,0.04,2.6
2014-03-26,2014,3,26,-3.8200000000000003,-11.7,-7.8,0.0,0.0,0.0,2.4
2014-03-27,2014,3,27,3.8200000000000003,-9.16,-2.7,1.2,0.48,2.02,2.2
2014-03-28,2014,3,28,9.540000000000001,1.56,5.58,1.8800000000000003,0.0,2.9,2.0
2014-03-29,2014,3,29,2.9400000000000004,0.86,1.92,0.0,0.0,0.0,1.8
2014-03-30,2014,3,30,7.38,-1.2,3.12,0.0,0.0,0.0,1.2
2014-03-31,2014,3,31,10.58,-1.0,4.819999999999999,0.0,0.0,0.0,0.2
2014-04-01,2014,4,1,,,,0.0,0.0,0.0,0.0
2014-04-02,2014,4,2,7.619999999999999,-0.09999999999999998,3.8,0.0,0.0,0.0,0.0
2014-04-03,2014,4,3,4.5,-1.8,1.4,0.0,0.0,0.1,0.0
2014-04-04,2014,4,4,,,,6.4,0.0,9.14,0.0
2014-04-05,2014,4,5,4.3,-1.64,1.3599999999999999,0.0,0.0,0.0,0.0
2014-04-06,2014,4,6,11.36,-3.44,4.000000000000001,0.0,0.0,0.0,0.0
2014-04-07,2014,4,7,8.98,0.54,4.78,9.360000000000001,0.0,15.459999999999999,0.0
2014-04-08,2014,4,8,12.559999999999999,1.78,7.18,1.8800000000000001,0.0,4.26,0.0
2014-04-09,2014,4,9,10.6,1.06,5.86,0.0,0.0,0.0,0.0
2014-04-10,2014,4,10,17.98,2.44,10.22,0.04,0.0,0.04,0.0
2014-04-11,2014,4,11,14.4,3.0599999999999996,8.74,0.04,0.0,0.04,0.0
2014-04-12,2014,4,12,14.440000000000001,2.6,8.52,5.5600000000000005,0.0,6.8199999999999985,0.0
2014-04-13,2014,4,13,19.1,5.04,12.1,2.94,0.0,4.8,0.0
2014-04-14,2014,4,14,19.84,3.34,11.620000000000001,2.96,0.4,7.26,0.0
2014-04-15,2014,4,15,1.7,-4.5,-1.42,1.1199999999999999,1.28,5.3,1.0
2014-04-16,2014,4,16,4.24,-6.26,-1.04,0.0,0.0,0.0,0.2
